Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Abisara bifasciata;"Matheran, Devgad, Bankura District, Tungareshwar WLS, Raibaghini, Turahalli RF, Pashan, Kerala, Kurul, Lathimotta, Alibag Taluka, Camp Geedee, Makutta, Tamhanmala, Chinchoti, Sanjay Gandhi NP, Chirgaon, Ragihalli, Karnala Bird Sanctuary, Karnataka, Parambikkulam WLS, Sindhudurg District, Brahmapuri, Guindy NP, Malappuram District, Ratnagiri District, Paschimbanga, Palakkad District, Raigad District, Tamil Nadu, Bhagwan Mahavir WLS, Wayanad WLS, Nagla Block, Gadchiroli District, Uttara Kannada District, Kodagu District, Susunia Hill, Jigani, Mhasala Taluka, Tamhini, Chennai District, Shilonda, Thiruvananthapuram  District, Goa, Pune District, Karjat, Thane District, Murumgaon, Bengaluru Urban District, Shivanahalli, Mumbai Suburban District, Chikkamagaluru District, India, North Goa District, Yeoor, Jhari Eco Stay, Pune, Maharashtra, Athigundi Village, Naigaon, Anshi NP, Amboli, Wayanad District, J.P. Nagar RF, Chandrapur District, Kumbharli Ghat, Chiplun, Prashanti Kutiram, Dombivli, Tambdi Surla Waterfall Route, Peppara WLS, Nilambur"
Abisara burnii;"Nagaland, Vensuvong, India, Fakim WLS, Kiphire District"
Abisara chela;"Arunachal Pradesh, West Kameng District, Himalayan Zoological Park, North Sikkim District, Changlang District, Deban, Sikkim, Bomphu to Hathi nala, Bomphu, Pasingdang, Gangtok, East Sikkim District, Upper Dzongu, 19th Mile, Rolep, Namdapha NP, India, Tingvong-Lingzya, Anamika Falls, 17th Mile, Eaglenest WLS, Tingvong"
Abisara echerius;"Mizoram, Sanjay Gandhi NP, Maharashtra, Aralam WLS, Kannur  District, Shendurney WLS, Thane District, Ngengpui WLS, Kerala, Nagla Block, Champhai District, India, Kollam District"
Abisara fylla;"Didihat, Kathayat Bara Village, West Kameng District, Dimapur District, South Sikkim District, North Sikkim District, Darjeeling District, Changlang District, Central zone, Uttarakhand, Deban, Sikkim, Senapati, Bomphu to Hathi nala, Hathi Nala, Bomphu, Pithoragarh District, East Sikkim District, Punakha District, Suntale Khola, Paschimbanga, Piphema (near Pherima), Nagaland, Upper Dzongu, Phuba, Rolep, Mawlong-Terna Road, Namchi, Sillery Gaon, Geyzing, Namdapha NP, India, Tingvong-Lingzya, Manipur, Senapati District, Anamika Falls, East Khasi Hills District, Bageshwar District, Mawkisyiem, Meghalaya, Cherrapunjee, West Sikkim District, Eaglenest WLS, Jigme Dorji National Park, Arunachal Pradesh, Bhutan"
Abisara neophron;"Balpakram NP, South Garo Hills District, West Kameng District, North Sikkim District, Changlang District, Deban, Sikkim, Namprikdang, Bomphu to Hathi nala, Buxa TR, location invalid, Dibrugarh District, Paschimbanga, Dzongu, Balpakram Plateau, Alipurduar District, Assam, Namdapha NP, India, East Khasi Hills District, Cherrapunjee, Meghalaya, 17th Mile, Mawkisyiem, Jokai Reserve Forest, Arunachal Pradesh, Eaglenest WLS"
Abrota ganga;"Sikkim, Arunachal Pradesh, Tingvong-Lingzya, Lower Namchingbung, Alipurduar District, Buxa TR, Pasingdang, Lingtem, East Sikkim District, Namdapha NP, Paschimbanga, Changlang District, North Sikkim District, India, Upper Dzongu, Jayanti"
Acraea issoria;"Pakyong, West Kameng District, North Sikkim District, Jayanti, Uttarakhand, Dehradun District, Chakrata, Kamrup District, Sikkim, Senapati, Bomphu to Hathi nala, Bomphu, Mawkdok, Buxa TR, Aizawl District, Aizwal, East Sikkim District, Tingvong, Sessni, Paschimbanga, Mangan-Chungthang Road, Nagaland, Upper Dzongu, Phuba, Kohima District, Rinchenpong, Resum Gumpa, Alipurduar District, Rolep, Assam, Tadubi, Mussoorie, India, Guwahati, Jotsoma Village, Tingvong-Lingzya, Manipur, Senapati District, Mizoram, Dibru Saikhowa NP, East Khasi Hills District, Tinsukia District, Cherrapunjee, Meghalaya, Mawkisyiem, West Sikkim District, Eaglenest WLS, Arunachal Pradesh"
Acraea terpsicore;"Devgad, Rajapalayam, Gondiya District, Hyderabad, Cauvery WLS, Jamtora, Kerala, Sarusajai,Guwahati, Shivamogga District, Kamrup District, Haveri District, Mandya District, Buxa TR, Umaria District, Paschimbanga, Silvassa, Tamil Nadu, Mayurbhanj District, Gadchiroli District, Lamb's Rock, Chhattisgarh, Shankar Nagar, Kanakpura Taluk, Banobitan, Rajasthan, Bengaluru Urban District, Kakkur, Hanging Gardens, Raipur District, Songaon, Malabar Hills, Sagara, Lingambudhi Lake, Andhra Pradesh, Dhobi Ghat, Pune, Mirzapur District, Amboli, Chiplun, Dombivli, DVC Canal, Byadgi Taluk, Mathur, IIT Bombay, Bankura District, Mysore District, Kakolu, Galibore Fishing Camp, Coonoor, Savandurga SF, Kanaka Ecological Park (KDA), Hyderabad Urban District, Phansad WLS (Supegaon End), Idukki District, ABS Academy Campus, Bamboo Rustles Camp, Thiruvananthapuram  District, Pune District, Assam, Sonawale, Ovalekar Wadi Butterfly Park, India, RGSC BHU, Telangana, Kallikad, Uttar Pradesh, Valley School, Lepakshi, Nehru Zoological park, Jaguli, Bandhavgarh NP, Bengaluru  Rural District, Pyramid Valley, Chamrajnagar District, Botanical Gardens, Nadia District, Kolkata District, Hooghly District, Near Kolar Village, Ramnagar district, Karnataka, Dadra & Nagar Haveli, Fergusson College Hill, Rajkot District, Bairi, Anantapur District, Kaginele Byadgi Taluk, Ratnagiri District, P. S. K. Nagar, Indira Park, Golapbag, Jaipur District, Maharashtra Nature Park, Alipurduar District, Durgapur, Mumbai City District, Mydanahalli, Maharashtra, Jayamangali Blackbuck Reserve, Jalgaon District, Pampadum Shola NP, Kozhikode District, Kadaramandalagi, Golconda Fort, J.P. Nagar RF, Virudhunagar District, Chik Yelchetti, Bangriposi Ghati, Garalia, Tiruchchirappalli District, Baidyabati, Raiya, Sambhar, Near Bio Veda Retreat, Pashan, Shivaji Udyan, Dadra and Nagar Haveli District, Gujarat, Barkachha, Sanamavu Forest, Kolkata, Howrah District, Navegaon NP, Cuttack District, Raipur, Dattaji Salvi Garden, Krishnagiri District, Konganepalli, Sahakar Nagar, Raigad District, Sindhudurg District, Murud-Janjira Taluka, Odisha, Rajarhat, Tala, Thane District, Madhya Pradesh, Nilgiri District, Butterfly Park, Tumkur District, Mumbai Suburban District, Bardhaman District, Owla, Powai, Rajabhatkhawa, Shodhgram, Magadi Taluk, Vasai, Hebbal Lake, Chatgaon, Om Shanthidhama, Samajikvanikarn, Mysore City"
Actinor radians;"Himachal Pradesh, India, Kullu, Kullu District"
